"a","c","b","d","config_id","design_id","scenario","n","n_exposed","n_unexposed","events","data_state","separation","sparsity_class","beta_reference"
0,0,10,10,"n20_0.10.0.10","E020R1","ENUM",20,10,10,0,"one_outcome","one_outcome","one_outcome",0
1,0,9,10,"n20_1.9.0.10","E020R1","ENUM",20,10,10,1,"ok","quasi_separation","quasi_separation",1.19869574722509
2,0,8,10,"n20_2.8.0.10","E020R1","ENUM",20,10,10,2,"ok","quasi_separation","quasi_separation",1.82074700610131
3,0,7,10,"n20_3.7.0.10","E020R1","ENUM",20,10,10,3,"ok","quasi_separation","quasi_separation",2.28238238567653
4,0,6,10,"n20_4.6.0.10","E020R1","ENUM",20,10,10,4,"ok","quasi_separation","quasi_separation",2.67679765759811
5,0,5,10,"n20_5.5.0.10","E020R1","ENUM",20,10,10,5,"ok","quasi_separation","quasi_separation",3.04452243772342
6,0,4,10,"n20_6.4.0.10","E020R1","ENUM",20,10,10,6,"ok","quasi_separation","quasi_separation",3.41224721784874
7,0,3,10,"n20_7.3.0.10","E020R1","ENUM",20,10,10,7,"ok","quasi_separation","quasi_separation",3.80666248977032
8,0,2,10,"n20_8.2.0.10","E020R1","ENUM",20,10,10,8,"ok","quasi_separation","quasi_separation",4.26829786934554
9,0,1,10,"n20_9.1.0.10","E020R1","ENUM",20,10,10,9,"ok","quasi_separation","quasi_separation",4.89034912822175
10,0,0,10,"n20_10.0.0.10","E020R1","ENUM",20,10,10,10,"ok","complete_separation","complete_separation",6.08904487544685
0,1,10,9,"n20_0.10.1.9","E020R1","ENUM",20,10,10,1,"ok","quasi_separation","quasi_separation",-1.19869574722509
1,1,9,9,"n20_1.9.1.9","E020R1","ENUM",20,10,10,2,"ok","none","none",0
2,1,8,9,"n20_2.8.1.9","E020R1","ENUM",20,10,10,3,"ok","none","none",0.622051258876215
3,1,7,9,"n20_3.7.1.9","E020R1","ENUM",20,10,10,4,"ok","none","none",1.08368663845143
4,1,6,9,"n20_4.6.1.9","E020R1","ENUM",20,10,10,5,"ok","none","none",1.47810191037301
5,1,5,9,"n20_5.5.1.9","E020R1","ENUM",20,10,10,6,"ok","none","none",1.84582669049833
6,1,4,9,"n20_6.4.1.9","E020R1","ENUM",20,10,10,7,"ok","none","none",2.21355147062365
7,1,3,9,"n20_7.3.1.9","E020R1","ENUM",20,10,10,8,"ok","none","none",2.60796674254523
8,1,2,9,"n20_8.2.1.9","E020R1","ENUM",20,10,10,9,"ok","none","none",3.06960212212045
9,1,1,9,"n20_9.1.1.9","E020R1","ENUM",20,10,10,10,"ok","none","none",3.69165338099666
10,1,0,9,"n20_10.0.1.9","E020R1","ENUM",20,10,10,11,"ok","quasi_separation","quasi_separation",4.89034912822175
0,2,10,8,"n20_0.10.2.8","E020R1","ENUM",20,10,10,2,"ok","quasi_separation","quasi_separation",-1.82074700610131
1,2,9,8,"n20_1.9.2.8","E020R1","ENUM",20,10,10,3,"ok","none","none",-0.622051258876215
2,2,8,8,"n20_2.8.2.8","E020R1","ENUM",20,10,10,4,"ok","none","none",0
3,2,7,8,"n20_3.7.2.8","E020R1","ENUM",20,10,10,5,"ok","none","none",0.461635379575219
4,2,6,8,"n20_4.6.2.8","E020R1","ENUM",20,10,10,6,"ok","none","none",0.856050651496798
5,2,5,8,"n20_5.5.2.8","E020R1","ENUM",20,10,10,7,"ok","none","none",1.22377543162212
6,2,4,8,"n20_6.4.2.8","E020R1","ENUM",20,10,10,8,"ok","none","none",1.59150021174743
7,2,3,8,"n20_7.3.2.8","E020R1","ENUM",20,10,10,9,"ok","none","none",1.98591548366901
8,2,2,8,"n20_8.2.2.8","E020R1","ENUM",20,10,10,10,"ok","none","none",2.44755086324423
9,2,1,8,"n20_9.1.2.8","E020R1","ENUM",20,10,10,11,"ok","none","none",3.06960212212045
10,2,0,8,"n20_10.0.2.8","E020R1","ENUM",20,10,10,12,"ok","quasi_separation","quasi_separation",4.26829786934554
0,3,10,7,"n20_0.10.3.7","E020R1","ENUM",20,10,10,3,"ok","quasi_separation","quasi_separation",-2.28238238567653
1,3,9,7,"n20_1.9.3.7","E020R1","ENUM",20,10,10,4,"ok","none","none",-1.08368663845143
2,3,8,7,"n20_2.8.3.7","E020R1","ENUM",20,10,10,5,"ok","none","none",-0.461635379575219
3,3,7,7,"n20_3.7.3.7","E020R1","ENUM",20,10,10,6,"ok","none","none",0
4,3,6,7,"n20_4.6.3.7","E020R1","ENUM",20,10,10,7,"ok","none","none",0.394415271921579
5,3,5,7,"n20_5.5.3.7","E020R1","ENUM",20,10,10,8,"ok","none","none",0.762140052046897
6,3,4,7,"n20_6.4.3.7","E020R1","ENUM",20,10,10,9,"ok","none","none",1.12986483217221
7,3,3,7,"n20_7.3.3.7","E020R1","ENUM",20,10,10,10,"ok","none","none",1.52428010409379
8,3,2,7,"n20_8.2.3.7","E020R1","ENUM",20,10,10,11,"ok","none","none",1.98591548366901
9,3,1,7,"n20_9.1.3.7","E020R1","ENUM",20,10,10,12,"ok","none","none",2.60796674254523
10,3,0,7,"n20_10.0.3.7","E020R1","ENUM",20,10,10,13,"ok","quasi_separation","quasi_separation",3.80666248977032
0,4,10,6,"n20_0.10.4.6","E020R1","ENUM",20,10,10,4,"ok","quasi_separation","quasi_separation",-2.67679765759811
1,4,9,6,"n20_1.9.4.6","E020R1","ENUM",20,10,10,5,"ok","none","none",-1.47810191037301
2,4,8,6,"n20_2.8.4.6","E020R1","ENUM",20,10,10,6,"ok","none","none",-0.856050651496798
3,4,7,6,"n20_3.7.4.6","E020R1","ENUM",20,10,10,7,"ok","none","none",-0.394415271921579
4,4,6,6,"n20_4.6.4.6","E020R1","ENUM",20,10,10,8,"ok","none","none",0
5,4,5,6,"n20_5.5.4.6","E020R1","ENUM",20,10,10,9,"ok","none","none",0.367724780125317
6,4,4,6,"n20_6.4.4.6","E020R1","ENUM",20,10,10,10,"ok","none","none",0.735449560250635
7,4,3,6,"n20_7.3.4.6","E020R1","ENUM",20,10,10,11,"ok","none","none",1.12986483217221
8,4,2,6,"n20_8.2.4.6","E020R1","ENUM",20,10,10,12,"ok","none","none",1.59150021174743
9,4,1,6,"n20_9.1.4.6","E020R1","ENUM",20,10,10,13,"ok","none","none",2.21355147062365
10,4,0,6,"n20_10.0.4.6","E020R1","ENUM",20,10,10,14,"ok","quasi_separation","quasi_separation",3.41224721784874
0,5,10,5,"n20_0.10.5.5","E020R1","ENUM",20,10,10,5,"ok","quasi_separation","quasi_separation",-3.04452243772342
1,5,9,5,"n20_1.9.5.5","E020R1","ENUM",20,10,10,6,"ok","none","none",-1.84582669049833
2,5,8,5,"n20_2.8.5.5","E020R1","ENUM",20,10,10,7,"ok","none","none",-1.22377543162212
3,5,7,5,"n20_3.7.5.5","E020R1","ENUM",20,10,10,8,"ok","none","none",-0.762140052046897
4,5,6,5,"n20_4.6.5.5","E020R1","ENUM",20,10,10,9,"ok","none","none",-0.367724780125317
5,5,5,5,"n20_5.5.5.5","E020R1","ENUM",20,10,10,10,"ok","none","none",0
6,5,4,5,"n20_6.4.5.5","E020R1","ENUM",20,10,10,11,"ok","none","none",0.367724780125317
7,5,3,5,"n20_7.3.5.5","E020R1","ENUM",20,10,10,12,"ok","none","none",0.762140052046897
8,5,2,5,"n20_8.2.5.5","E020R1","ENUM",20,10,10,13,"ok","none","none",1.22377543162212
9,5,1,5,"n20_9.1.5.5","E020R1","ENUM",20,10,10,14,"ok","none","none",1.84582669049833
10,5,0,5,"n20_10.0.5.5","E020R1","ENUM",20,10,10,15,"ok","quasi_separation","quasi_separation",3.04452243772342
0,6,10,4,"n20_0.10.6.4","E020R1","ENUM",20,10,10,6,"ok","quasi_separation","quasi_separation",-3.41224721784874
1,6,9,4,"n20_1.9.6.4","E020R1","ENUM",20,10,10,7,"ok","none","none",-2.21355147062365
2,6,8,4,"n20_2.8.6.4","E020R1","ENUM",20,10,10,8,"ok","none","none",-1.59150021174743
3,6,7,4,"n20_3.7.6.4","E020R1","ENUM",20,10,10,9,"ok","none","none",-1.12986483217221
4,6,6,4,"n20_4.6.6.4","E020R1","ENUM",20,10,10,10,"ok","none","none",-0.735449560250635
5,6,5,4,"n20_5.5.6.4","E020R1","ENUM",20,10,10,11,"ok","none","none",-0.367724780125317
6,6,4,4,"n20_6.4.6.4","E020R1","ENUM",20,10,10,12,"ok","none","none",0
7,6,3,4,"n20_7.3.6.4","E020R1","ENUM",20,10,10,13,"ok","none","none",0.394415271921579
8,6,2,4,"n20_8.2.6.4","E020R1","ENUM",20,10,10,14,"ok","none","none",0.856050651496798
9,6,1,4,"n20_9.1.6.4","E020R1","ENUM",20,10,10,15,"ok","none","none",1.47810191037301
10,6,0,4,"n20_10.0.6.4","E020R1","ENUM",20,10,10,16,"ok","quasi_separation","quasi_separation",2.67679765759811
0,7,10,3,"n20_0.10.7.3","E020R1","ENUM",20,10,10,7,"ok","quasi_separation","quasi_separation",-3.80666248977032
1,7,9,3,"n20_1.9.7.3","E020R1","ENUM",20,10,10,8,"ok","none","none",-2.60796674254523
2,7,8,3,"n20_2.8.7.3","E020R1","ENUM",20,10,10,9,"ok","none","none",-1.98591548366901
3,7,7,3,"n20_3.7.7.3","E020R1","ENUM",20,10,10,10,"ok","none","none",-1.52428010409379
4,7,6,3,"n20_4.6.7.3","E020R1","ENUM",20,10,10,11,"ok","none","none",-1.12986483217221
5,7,5,3,"n20_5.5.7.3","E020R1","ENUM",20,10,10,12,"ok","none","none",-0.762140052046897
6,7,4,3,"n20_6.4.7.3","E020R1","ENUM",20,10,10,13,"ok","none","none",-0.394415271921579
7,7,3,3,"n20_7.3.7.3","E020R1","ENUM",20,10,10,14,"ok","none","none",0
8,7,2,3,"n20_8.2.7.3","E020R1","ENUM",20,10,10,15,"ok","none","none",0.461635379575219
9,7,1,3,"n20_9.1.7.3","E020R1","ENUM",20,10,10,16,"ok","none","none",1.08368663845143
10,7,0,3,"n20_10.0.7.3","E020R1","ENUM",20,10,10,17,"ok","quasi_separation","quasi_separation",2.28238238567653
0,8,10,2,"n20_0.10.8.2","E020R1","ENUM",20,10,10,8,"ok","quasi_separation","quasi_separation",-4.26829786934554
1,8,9,2,"n20_1.9.8.2","E020R1","ENUM",20,10,10,9,"ok","none","none",-3.06960212212045
2,8,8,2,"n20_2.8.8.2","E020R1","ENUM",20,10,10,10,"ok","none","none",-2.44755086324423
3,8,7,2,"n20_3.7.8.2","E020R1","ENUM",20,10,10,11,"ok","none","none",-1.98591548366901
4,8,6,2,"n20_4.6.8.2","E020R1","ENUM",20,10,10,12,"ok","none","none",-1.59150021174743
5,8,5,2,"n20_5.5.8.2","E020R1","ENUM",20,10,10,13,"ok","none","none",-1.22377543162212
6,8,4,2,"n20_6.4.8.2","E020R1","ENUM",20,10,10,14,"ok","none","none",-0.856050651496798
7,8,3,2,"n20_7.3.8.2","E020R1","ENUM",20,10,10,15,"ok","none","none",-0.461635379575219
8,8,2,2,"n20_8.2.8.2","E020R1","ENUM",20,10,10,16,"ok","none","none",0
9,8,1,2,"n20_9.1.8.2","E020R1","ENUM",20,10,10,17,"ok","none","none",0.622051258876215
10,8,0,2,"n20_10.0.8.2","E020R1","ENUM",20,10,10,18,"ok","quasi_separation","quasi_separation",1.82074700610131
0,9,10,1,"n20_0.10.9.1","E020R1","ENUM",20,10,10,9,"ok","quasi_separation","quasi_separation",-4.89034912822175
1,9,9,1,"n20_1.9.9.1","E020R1","ENUM",20,10,10,10,"ok","none","none",-3.69165338099666
2,9,8,1,"n20_2.8.9.1","E020R1","ENUM",20,10,10,11,"ok","none","none",-3.06960212212045
3,9,7,1,"n20_3.7.9.1","E020R1","ENUM",20,10,10,12,"ok","none","none",-2.60796674254523
4,9,6,1,"n20_4.6.9.1","E020R1","ENUM",20,10,10,13,"ok","none","none",-2.21355147062365
5,9,5,1,"n20_5.5.9.1","E020R1","ENUM",20,10,10,14,"ok","none","none",-1.84582669049833
6,9,4,1,"n20_6.4.9.1","E020R1","ENUM",20,10,10,15,"ok","none","none",-1.47810191037301
7,9,3,1,"n20_7.3.9.1","E020R1","ENUM",20,10,10,16,"ok","none","none",-1.08368663845143
8,9,2,1,"n20_8.2.9.1","E020R1","ENUM",20,10,10,17,"ok","none","none",-0.622051258876215
9,9,1,1,"n20_9.1.9.1","E020R1","ENUM",20,10,10,18,"ok","none","none",0
10,9,0,1,"n20_10.0.9.1","E020R1","ENUM",20,10,10,19,"ok","quasi_separation","quasi_separation",1.19869574722509
0,10,10,0,"n20_0.10.10.0","E020R1","ENUM",20,10,10,10,"ok","complete_separation","complete_separation",-6.08904487544685
1,10,9,0,"n20_1.9.10.0","E020R1","ENUM",20,10,10,11,"ok","quasi_separation","quasi_separation",-4.89034912822175
2,10,8,0,"n20_2.8.10.0","E020R1","ENUM",20,10,10,12,"ok","quasi_separation","quasi_separation",-4.26829786934554
3,10,7,0,"n20_3.7.10.0","E020R1","ENUM",20,10,10,13,"ok","quasi_separation","quasi_separation",-3.80666248977032
4,10,6,0,"n20_4.6.10.0","E020R1","ENUM",20,10,10,14,"ok","quasi_separation","quasi_separation",-3.41224721784874
5,10,5,0,"n20_5.5.10.0","E020R1","ENUM",20,10,10,15,"ok","quasi_separation","quasi_separation",-3.04452243772342
6,10,4,0,"n20_6.4.10.0","E020R1","ENUM",20,10,10,16,"ok","quasi_separation","quasi_separation",-2.67679765759811
7,10,3,0,"n20_7.3.10.0","E020R1","ENUM",20,10,10,17,"ok","quasi_separation","quasi_separation",-2.28238238567653
8,10,2,0,"n20_8.2.10.0","E020R1","ENUM",20,10,10,18,"ok","quasi_separation","quasi_separation",-1.82074700610131
9,10,1,0,"n20_9.1.10.0","E020R1","ENUM",20,10,10,19,"ok","quasi_separation","quasi_separation",-1.19869574722509
10,10,0,0,"n20_10.0.10.0","E020R1","ENUM",20,10,10,20,"one_outcome","one_outcome","one_outcome",0
0,0,25,25,"n50_0.25.0.25","E050R1","ENUM",50,25,25,0,"one_outcome","one_outcome","one_outcome",0
1,0,24,25,"n50_1.24.0.25","E050R1","ENUM",50,25,25,1,"ok","quasi_separation","quasi_separation",1.13861762328181
2,0,23,25,"n50_2.23.0.25","E050R1","ENUM",50,25,25,2,"ok","quasi_separation","quasi_separation",1.69111594344837
3,0,22,25,"n50_3.22.0.25","E050R1","ENUM",50,25,25,3,"ok","quasi_separation","quasi_separation",2.07107329200932
4,0,21,25,"n50_4.21.0.25","E050R1","ENUM",50,25,25,4,"ok","quasi_separation","quasi_separation",2.36785009436698
5,0,20,25,"n50_5.20.0.25","E050R1","ENUM",50,25,25,5,"ok","quasi_separation","quasi_separation",2.61614883881839
6,0,19,25,"n50_6.19.0.25","E050R1","ENUM",50,25,25,6,"ok","quasi_separation","quasi_separation",2.83321334405622
7,0,18,25,"n50_7.18.0.25","E050R1","ENUM",50,25,25,7,"ok","quasi_separation","quasi_separation",3.02895792118231
8,0,17,25,"n50_8.17.0.25","E050R1","ENUM",50,25,25,8,"ok","quasi_separation","quasi_separation",3.20969091529113
9,0,16,25,"n50_9.16.0.25","E050R1","ENUM",50,25,25,9,"ok","quasi_separation","quasi_separation",3.37975705042429
10,0,15,25,"n50_10.15.0.25","E050R1","ENUM",50,25,25,10,"ok","quasi_separation","quasi_separation",3.5423608659626
11,0,14,25,"n50_11.14.0.25","E050R1","ENUM",50,25,25,11,"ok","quasi_separation","quasi_separation",3.700024018667
12,0,13,25,"n50_12.13.0.25","E050R1","ENUM",50,25,25,12,"ok","quasi_separation","quasi_separation",3.8548645915882
13,0,12,25,"n50_13.12.0.25","E050R1","ENUM",50,25,25,13,"ok","quasi_separation","quasi_separation",4.00878667386045
14,0,11,25,"n50_14.11.0.25","E050R1","ENUM",50,25,25,14,"ok","quasi_separation","quasi_separation",4.16362724678165
15,0,10,25,"n50_15.10.0.25","E050R1","ENUM",50,25,25,15,"ok","quasi_separation","quasi_separation",4.32129039948605
16,0,9,25,"n50_16.9.0.25","E050R1","ENUM",50,25,25,16,"ok","quasi_separation","quasi_separation",4.48389421502437
17,0,8,25,"n50_17.8.0.25","E050R1","ENUM",50,25,25,17,"ok","quasi_separation","quasi_separation",4.65396035015752
18,0,7,25,"n50_18.7.0.25","E050R1","ENUM",50,25,25,18,"ok","quasi_separation","quasi_separation",4.83469334426634
19,0,6,25,"n50_19.6.0.25","E050R1","ENUM",50,25,25,19,"ok","quasi_separation","quasi_separation",5.03043792139244
20,0,5,25,"n50_20.5.0.25","E050R1","ENUM",50,25,25,20,"ok","quasi_separation","quasi_separation",5.24750242663026
21,0,4,25,"n50_21.4.0.25","E050R1","ENUM",50,25,25,21,"ok","quasi_separation","quasi_separation",5.49580117108167
22,0,3,25,"n50_22.3.0.25","E050R1","ENUM",50,25,25,22,"ok","quasi_separation","quasi_separation",5.79257797343933
23,0,2,25,"n50_23.2.0.25","E050R1","ENUM",50,25,25,23,"ok","quasi_separation","quasi_separation",6.17253532200028
24,0,1,25,"n50_24.1.0.25","E050R1","ENUM",50,25,25,24,"ok","quasi_separation","quasi_separation",6.72503364216684
25,0,0,25,"n50_25.0.0.25","E050R1","ENUM",50,25,25,25,"ok","complete_separation","complete_separation",7.86365126544865
0,1,25,24,"n50_0.25.1.24","E050R1","ENUM",50,25,25,1,"ok","quasi_separation","quasi_separation",-1.13861762328181
1,1,24,24,"n50_1.24.1.24","E050R1","ENUM",50,25,25,2,"ok","none","none",0
2,1,23,24,"n50_2.23.1.24","E050R1","ENUM",50,25,25,3,"ok","none","none",0.552498320166559
3,1,22,24,"n50_3.22.1.24","E050R1","ENUM",50,25,25,4,"ok","none","none",0.932455668727511
4,1,21,24,"n50_4.21.1.24","E050R1","ENUM",50,25,25,5,"ok","none","none",1.22923247108517
5,1,20,24,"n50_5.20.1.24","E050R1","ENUM",50,25,25,6,"ok","none","none",1.47753121553658
6,1,19,24,"n50_6.19.1.24","E050R1","ENUM",50,25,25,7,"ok","none","none",1.69459572077441
7,1,18,24,"n50_7.18.1.24","E050R1","ENUM",50,25,25,8,"ok","none","none",1.8903402979005
8,1,17,24,"n50_8.17.1.24","E050R1","ENUM",50,25,25,9,"ok","none","none",2.07107329200932
9,1,16,24,"n50_9.16.1.24","E050R1","ENUM",50,25,25,10,"ok","none","none",2.24113942714248
10,1,15,24,"n50_10.15.1.24","E050R1","ENUM",50,25,25,11,"ok","none","none",2.40374324268079
11,1,14,24,"n50_11.14.1.24","E050R1","ENUM",50,25,25,12,"ok","none","none",2.56140639538519
12,1,13,24,"n50_12.13.1.24","E050R1","ENUM",50,25,25,13,"ok","none","none",2.71624696830639
13,1,12,24,"n50_13.12.1.24","E050R1","ENUM",50,25,25,14,"ok","none","none",2.87016905057865
14,1,11,24,"n50_14.11.1.24","E050R1","ENUM",50,25,25,15,"ok","none","none",3.02500962349984
15,1,10,24,"n50_15.10.1.24","E050R1","ENUM",50,25,25,16,"ok","none","none",3.18267277620424
