"config_id","common_point_converged","common_inference_available"
"n20_0.10.0.10",FALSE,FALSE
"n20_1.9.0.10",TRUE,TRUE
"n20_2.8.0.10",TRUE,TRUE
"n20_3.7.0.10",TRUE,TRUE
"n20_4.6.0.10",TRUE,TRUE
"n20_5.5.0.10",TRUE,TRUE
"n20_6.4.0.10",TRUE,TRUE
"n20_7.3.0.10",TRUE,TRUE
"n20_8.2.0.10",TRUE,TRUE
"n20_9.1.0.10",TRUE,TRUE
"n20_10.0.0.10",FALSE,FALSE
"n20_0.10.1.9",TRUE,TRUE
"n20_1.9.1.9",TRUE,TRUE
"n20_2.8.1.9",TRUE,TRUE
"n20_3.7.1.9",TRUE,TRUE
"n20_4.6.1.9",TRUE,TRUE
"n20_5.5.1.9",TRUE,TRUE
"n20_6.4.1.9",TRUE,TRUE
"n20_7.3.1.9",TRUE,TRUE
"n20_8.2.1.9",TRUE,TRUE
"n20_9.1.1.9",TRUE,TRUE
"n20_10.0.1.9",TRUE,TRUE
"n20_0.10.2.8",TRUE,TRUE
"n20_1.9.2.8",TRUE,TRUE
"n20_2.8.2.8",TRUE,TRUE
"n20_3.7.2.8",TRUE,TRUE
"n20_4.6.2.8",TRUE,TRUE
"n20_5.5.2.8",TRUE,TRUE
"n20_6.4.2.8",TRUE,TRUE
"n20_7.3.2.8",TRUE,TRUE
"n20_8.2.2.8",TRUE,TRUE
"n20_9.1.2.8",TRUE,TRUE
"n20_10.0.2.8",TRUE,TRUE
"n20_0.10.3.7",TRUE,TRUE
"n20_1.9.3.7",TRUE,TRUE
"n20_2.8.3.7",TRUE,TRUE
"n20_3.7.3.7",TRUE,TRUE
"n20_4.6.3.7",TRUE,TRUE
"n20_5.5.3.7",TRUE,TRUE
"n20_6.4.3.7",TRUE,TRUE
"n20_7.3.3.7",TRUE,TRUE
"n20_8.2.3.7",TRUE,TRUE
"n20_9.1.3.7",TRUE,TRUE
"n20_10.0.3.7",TRUE,TRUE
"n20_0.10.4.6",TRUE,TRUE
"n20_1.9.4.6",TRUE,TRUE
"n20_2.8.4.6",TRUE,TRUE
"n20_3.7.4.6",TRUE,TRUE
"n20_4.6.4.6",TRUE,TRUE
"n20_5.5.4.6",TRUE,TRUE
"n20_6.4.4.6",TRUE,TRUE
"n20_7.3.4.6",TRUE,TRUE
"n20_8.2.4.6",TRUE,TRUE
"n20_9.1.4.6",TRUE,TRUE
"n20_10.0.4.6",TRUE,TRUE
"n20_0.10.5.5",TRUE,TRUE
"n20_1.9.5.5",TRUE,TRUE
"n20_2.8.5.5",TRUE,TRUE
"n20_3.7.5.5",TRUE,TRUE
"n20_4.6.5.5",TRUE,TRUE
"n20_5.5.5.5",TRUE,TRUE
"n20_6.4.5.5",TRUE,TRUE
"n20_7.3.5.5",TRUE,TRUE
"n20_8.2.5.5",TRUE,TRUE
"n20_9.1.5.5",TRUE,TRUE
"n20_10.0.5.5",TRUE,TRUE
"n20_0.10.6.4",TRUE,TRUE
"n20_1.9.6.4",TRUE,TRUE
"n20_2.8.6.4",TRUE,TRUE
"n20_3.7.6.4",TRUE,TRUE
"n20_4.6.6.4",TRUE,TRUE
"n20_5.5.6.4",TRUE,TRUE
"n20_6.4.6.4",TRUE,TRUE
"n20_7.3.6.4",TRUE,TRUE
"n20_8.2.6.4",TRUE,TRUE
"n20_9.1.6.4",TRUE,TRUE
"n20_10.0.6.4",TRUE,TRUE
"n20_0.10.7.3",TRUE,TRUE
"n20_1.9.7.3",TRUE,TRUE
"n20_2.8.7.3",TRUE,TRUE
"n20_3.7.7.3",TRUE,TRUE
"n20_4.6.7.3",TRUE,TRUE
"n20_5.5.7.3",TRUE,TRUE
"n20_6.4.7.3",TRUE,TRUE
"n20_7.3.7.3",TRUE,TRUE
"n20_8.2.7.3",TRUE,TRUE
"n20_9.1.7.3",TRUE,TRUE
"n20_10.0.7.3",TRUE,TRUE
"n20_0.10.8.2",TRUE,TRUE
"n20_1.9.8.2",TRUE,TRUE
"n20_2.8.8.2",TRUE,TRUE
"n20_3.7.8.2",TRUE,TRUE
"n20_4.6.8.2",TRUE,TRUE
"n20_5.5.8.2",TRUE,TRUE
