"comparison","method_A","method_B","factor"
"default_logistf_sas","logistf|lf_nr_default|PL","sas_proc|fisher_default|Wald","default"
"default_brglm2_sas","brglm2|bg_asmean_default|Wald","sas_proc|fisher_default|Wald","default"
"default_fl_sas","sas_fl|default|PL","sas_proc|fisher_default|Wald","default"
"aligned_PL_logistf_sas","logistf|lf_nr_default|PL","sas_proc|fisher_default|PL","alignment"
"aligned_Wald_logistf_sas","logistf|lf_nr_default|Wald","sas_proc|fisher_default|Wald","alignment"
"default_fl_logistf","sas_fl|default|PL","logistf|lf_nr_default|PL","alignment"
"tight_PL_logistf_sas","logistf|lf_nr_fit_pl_tight|PL","sas_proc|fisher_pl|PL","alignment"
"tight_Wald_brglm2_sas","brglm2|bg_asmean_epsilon12|Wald","sas_proc|fisher_gradient|Wald","alignment"
"tight_fl_logistf","sas_fl|tight|PL","logistf|lf_nr_fit_pl_tight|PL","alignment"
"LF_inference","logistf|lf_nr_default|Wald","logistf|lf_nr_default|PL","inference"
"SAS_CI","sas_proc|fisher_default|Wald","sas_proc|fisher_default|PL","inference"
"LF_algorithm_default","logistf|lf_nr_default|PL","logistf|lf_irls_default|PL","algorithm"
"LF_algorithm_tight","logistf|lf_nr_fit_pl_tight|PL","logistf|lf_irls_fit_pl_tight|PL","algorithm"
"LF_maxit","logistf|lf_nr_default|PL","logistf|lf_nr_maxit5000|PL","iterations"
"LF_threshold","logistf|lf_nr_maxit5000|PL","logistf|lf_nr_fit_tight|PL","threshold"
"LF_PL_control","logistf|lf_nr_default|PL","logistf|lf_nr_pl_tight|PL","profile"
"LF_PL_control_tight_fit","logistf|lf_nr_fit_tight|PL","logistf|lf_nr_fit_pl_tight|PL","profile"
"BG_maxit","brglm2|bg_asmean_default|Wald","brglm2|bg_asmean_maxit5000|Wald","iterations"
"BG_threshold","brglm2|bg_asmean_maxit5000|Wald","brglm2|bg_asmean_epsilon12|Wald","threshold"
"SAS_algorithm_default","sas_proc|fisher_default|Wald","sas_proc|newton_default|Wald","algorithm"
"SAS_algorithm_tight","sas_proc|fisher_gradient|Wald","sas_proc|newton_gradient|Wald","algorithm"
"SAS_maxit","sas_proc|fisher_default|Wald","sas_proc|fisher_cap|Wald","iterations"
"SAS_gradient","sas_proc|fisher_cap|Wald","sas_proc|fisher_gradient|Wald","threshold"
"SAS_parameter","sas_proc|fisher_cap|Wald","sas_proc|fisher_parameter|Wald","threshold"
"SAS_PL_control","sas_proc|fisher_gradient|PL","sas_proc|fisher_pl|PL","profile"
"FL_controls","sas_fl|default|PL","sas_fl|tight|PL","combined_control"
