"scenario_id","n","n_exposed","rho","true_beta","method","engine","variant","inference","cohort","generated_n","excluded_one_outcome_n","fitted_n","ci_available_n","ci_unavailable_fitted_n","ci_available_fraction","point_nonconverged_available_n","point_unknown_available_n","ci_nonconverged_available_n","ci_unknown_available_n","denominator_n","covered_n","interval_below_truth_n","interval_above_truth_n","coverage","mcse","mc_low","mc_high"
"C40R00",40,20,0,0.693147180559945,"sas_proc|fisher_default|Wald","sas_proc","fisher_default","Wald","available",2500,120,2380,2380,0,0.952,112,0,112,0,2380,2373,7,0,0.997058823529412,0.00111002421647387,0.994883176065123,0.999234470993701
"C40R00",40,20,0,0.693147180559945,"sas_proc|fisher_default|PL","sas_proc","fisher_default","PL","available",2500,120,2380,2327,53,0.9308,97,0,0,2327,2327,2296,29,2,0.986678126342931,0.00237668822130795,0.982019817429167,0.991336435256694
"C40R00",40,20,0,0.693147180559945,"sas_fl|default|PL","sas_fl","default","PL","available",2500,120,2380,2380,0,0.952,0,2380,0,2380,2380,2348,29,3,0.98655462184874,0.00236079675676144,0.981927460205487,0.991181783491992
"C40R00",40,20,0,0.693147180559945,"logistf|lf_nr_default|Wald","logistf","lf_nr_default","Wald","available",2500,120,2380,2380,0,0.952,144,0,144,0,2380,2366,14,0,0.994117647058824,0.00156749423558533,0.991045358357076,0.997189935760571
"C40R00",40,20,0,0.693147180559945,"logistf|lf_nr_default|PL","logistf","lf_nr_default","PL","available",2500,120,2380,2380,0,0.952,144,0,148,0,2380,2348,29,3,0.98655462184874,0.00236079675676144,0.981927460205487,0.991181783491992
"C40R00",40,20,0,0.693147180559945,"brglm2|bg_asmean_default|Wald","brglm2","bg_asmean_default","Wald","available",2500,120,2380,2380,0,0.952,1,0,1,0,2380,2373,7,0,0.997058823529412,0.00111002421647387,0.994883176065123,0.999234470993701
"C40R50",40,20,0.5,0.693147180559945,"sas_proc|fisher_default|Wald","sas_proc","fisher_default","Wald","available",2500,120,2380,2380,0,0.952,138,0,138,0,2380,2376,4,0,0.998319327731092,0.000839629672677408,0.996673653572645,0.99996500188954
"C40R50",40,20,0.5,0.693147180559945,"sas_proc|fisher_default|PL","sas_proc","fisher_default","PL","available",2500,120,2380,2320,60,0.928,120,0,0,2320,2320,2284,32,4,0.98448275862069,0.0025660630484573,0.979453275045713,0.989512242195666
"C40R50",40,20,0.5,0.693147180559945,"sas_fl|default|PL","sas_fl","default","PL","available",2500,120,2380,2380,0,0.952,0,2380,0,2380,2380,2343,33,4,0.984453781512605,0.00253583838075988,0.979483538286316,0.989424024738894
"C40R50",40,20,0.5,0.693147180559945,"logistf|lf_nr_default|Wald","logistf","lf_nr_default","Wald","available",2500,120,2380,2380,0,0.952,160,0,160,0,2380,2359,21,0,0.991176470588235,0.00191693851030866,0.98741927110803,0.99493367006844
"C40R50",40,20,0.5,0.693147180559945,"logistf|lf_nr_default|PL","logistf","lf_nr_default","PL","available",2500,120,2380,2380,0,0.952,160,0,164,0,2380,2343,33,4,0.984453781512605,0.00253583838075988,0.979483538286316,0.989424024738894
"C40R50",40,20,0.5,0.693147180559945,"brglm2|bg_asmean_default|Wald","brglm2","bg_asmean_default","Wald","available",2500,120,2380,2380,0,0.952,3,0,3,0,2380,2375,5,0,0.997899159663866,0.000938536946085024,0.996059627249539,0.999738692078192
