"a","c","b","d","config_id","design_id","scenario","n","n_exposed","n_unexposed","events","data_state","separation","sparsity_class","beta_reference","ci_available","ci_disagree","ci_delta","sas_point_converged","logistf_point_converged","sas_low","sas_high","logistf_low","logistf_high","aligned_ci_available","aligned_ci_disagree","aligned_decision","weight","decision","wald_logistf_decision","wald_brglm2_decision","wald_common_se","wald_common_sas_low","wald_common_sas_high","wald_common_logistf_low","wald_common_logistf_high","wald_common_se_decision"
0,0,25,25,"n50_0.25.0.25","E050R1","ENUM",50,25,25,0,"one_outcome","one_outcome","one_outcome",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"全例イベントあり/なし",0.0014792899408284,"全例イベントあり/なし","全例イベントあり/なし","全例イベントあり/なし",NA,NA,NA,NA,NA,"全例イベントあり/なし"
1,0,24,25,"n50_1.24.0.25","E050R1","ENUM",50,25,25,1,"ok","quasi_separation","quasi_separation",1.13861762328181,TRUE,FALSE,1.68974718257649,TRUE,TRUE,-2.17410621024888,4.4517608822582,-1.84105756774889,6.14150806483469,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.69013804958372,-2.1737823700802,4.45143704208952,-2.17399208280367,4.45122732936605,"判定一致"
2,0,23,25,"n50_2.23.0.25","E050R1","ENUM",50,25,25,2,"ok","quasi_separation","quasi_separation",1.69111594344837,TRUE,FALSE,1.79822527323266,TRUE,TRUE,-1.45766888659965,4.83985998966825,-0.883524334690966,6.63808526290091,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.60656143140386,-1.45770699296838,4.83989809603699,-1.45768660105494,4.83991848795043,"判定一致"
3,0,22,25,"n50_3.22.0.25","E050R1","ENUM",50,25,25,3,"ok","quasi_separation","quasi_separation",2.07107329200932,TRUE,FALSE,1.84507150233622,TRUE,TRUE,-1.00561364664128,5.14797122259148,-0.339037868822525,6.99304272492771,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.56976093501226,-1.00549610898685,5.14785368493705,-1.00560160495325,5.14774818897065,"判定一致"
4,0,21,25,"n50_4.21.0.25","E050R1","ENUM",50,25,25,4,"ok","quasi_separation","quasi_separation",2.36785009436698,TRUE,TRUE,1.87057504947464,TRUE,TRUE,-0.668775532844182,5.40523524270608,0.0455923172555201,7.27581029218072,TRUE,FALSE,"判定一致",0.0014792899408284,"判定差あり","判定一致","判定一致",1.54927967709509,-0.668302514155267,5.40476222401716,-0.668682274719855,5.40438246345257,"判定一致"
5,0,20,25,"n50_5.20.0.25","E050R1","ENUM",50,25,25,5,"ok","quasi_separation","quasi_separation",2.61614883881839,TRUE,TRUE,1.88785942226717,TRUE,TRUE,-0.395184550250236,5.62742810629409,0.347746460885342,7.51528752856126,TRUE,FALSE,"判定一致",0.0014792899408284,"判定差あり","判定一致","判定一致",1.53642667580769,-0.395219171447742,5.6274627274916,-0.395192110651905,5.62748978828744,"判定一致"
6,0,19,25,"n50_6.19.0.25","E050R1","ENUM",50,25,25,6,"ok","quasi_separation","quasi_separation",2.83321334405622,TRUE,TRUE,1.89887570063586,TRUE,TRUE,-0.161174463898824,5.82753513213879,0.600584519692087,7.72641083277465,TRUE,FALSE,"判定一致",0.0014792899408284,"判定差あり","判定一致","判定一致",1.52778193701157,-0.161217238653535,5.8275779068935,-0.161184228717921,5.82761091682911,"判定一致"
7,0,18,25,"n50_7.18.0.25","E050R1","ENUM",50,25,25,7,"ok","quasi_separation","quasi_separation",3.02895792118231,TRUE,FALSE,1.90656597396408,TRUE,TRUE,0.0464272459983888,6.01143291944804,0.821270365194212,7.91799889341211,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.52173164408458,0.0463908661825032,6.01146929926392,0.0464187046409803,6.0114971377224,"判定一致"
8,0,17,25,"n50_8.17.0.25","E050R1","ENUM",50,25,25,8,"ok","quasi_separation","quasi_separation",3.20969091529113,TRUE,FALSE,1.91149487641575,TRUE,TRUE,0.235530513877757,6.18428257215667,1.01986381625407,8.09577744857242,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.5174207809077,0.235816463045477,6.18399662298895,0.235600835318775,6.18378099526224,"判定一致"
9,0,16,25,"n50_9.16.0.25","E050R1","ENUM",50,25,25,9,"ok","quasi_separation","quasi_separation",3.37975705042429,TRUE,FALSE,1.91585045985148,TRUE,TRUE,0.411656964233486,6.34790732024507,1.20282464805428,8.26375778009655,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.51436069051145,0.411689729233627,6.34787455524493,0.411664637418015,6.34784946342932,"判定一致"
10,0,15,25,"n50_10.15.0.25","E050R1","ENUM",50,25,25,10,"ok","quasi_separation","quasi_separation",3.5423608659626,TRUE,FALSE,1.91844399166715,TRUE,TRUE,0.578364220090501,6.50650156448776,1.37461828708267,8.42494555615492,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.51225947078094,0.578458794278883,6.50640699029938,0.578386767951731,6.50633496397223,"判定一致"
11,0,14,25,"n50_11.14.0.25","E050R1","ENUM",50,25,25,11,"ok","quasi_separation","quasi_separation",3.700024018667,TRUE,FALSE,1.92002928440849,TRUE,TRUE,0.738592804164846,6.6617141369041,1.53853925455531,8.58174342131258,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.51094117498506,0.738763184805131,6.66154375626381,0.73863373293704,6.66141430439572,"判定一致"
12,0,13,25,"n50_12.13.0.25","E050R1","ENUM",50,25,25,12,"ok","quasi_separation","quasi_separation",3.8548645915882,TRUE,FALSE,1.92074441293547,TRUE,TRUE,0.89465931874229,6.81545836554525,1.69717477023452,8.73620277848072,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.51030505222042,0.894915334122863,6.81520235016468,0.894721083566669,6.81500809960849,"判定一致"
13,0,12,25,"n50_13.12.0.25","E050R1","ENUM",50,25,25,13,"ok","quasi_separation","quasi_separation",4.00878667386045,TRUE,FALSE,1.92065996022584,TRUE,TRUE,1.04855932945639,6.96953978706595,1.85269017115703,8.89019974729178,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.51030505222042,1.04890605024026,6.96919306628208,1.04864316583892,6.96893018188074,"判定一致"
14,0,11,25,"n50_14.11.0.25","E050R1","ENUM",50,25,25,14,"ok","quasi_separation","quasi_separation",4.16362724678165,TRUE,FALSE,1.91978903442609,TRUE,TRUE,1.20213097196757,7.12578770160853,2.00702339718193,9.04557673603462,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.51094117498506,1.20256905105871,7.12534962251739,1.20223696105169,7.12501753251037,"判定一致"
15,0,10,25,"n50_15.10.0.25","E050R1","ENUM",50,25,25,15,"ok","quasi_separation","quasi_separation",4.32129039948605,TRUE,FALSE,1.91808790527262,TRUE,TRUE,1.35718911176639,7.28618976436985,2.16203588859154,9.20427766964247,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.51225947078094,1.35771534005787,7.28566353607837,1.35731630147518,7.28526449749568,"判定一致"
16,0,9,25,"n50_16.9.0.25","E050R1","ENUM",50,25,25,16,"ok","quasi_separation","quasi_separation",4.48389421502437,TRUE,FALSE,1.9154464478105,TRUE,TRUE,1.51565523421556,7.45305613460888,2.31965065732566,9.36850258241938,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.51436069051145,1.51626327140657,7.45244809741787,1.51580180201809,7.45198662802939,"判定一致"
17,0,8,25,"n50_17.8.0.25","E050R1","ENUM",50,25,25,17,"ok","quasi_separation","quasi_separation",4.65396035015752,TRUE,FALSE,1.91166521471165,TRUE,TRUE,1.67970684924297,7.62924932865614,2.48200409418179,9.54091454336779,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.5174207809077,1.68038800897782,7.62856816892129,1.67987027018517,7.62805043012863,"判定一致"
18,0,7,25,"n50_18.7.0.25","E050R1","ENUM",50,25,25,18,"ok","quasi_separation","quasi_separation",4.83469334426634,TRUE,FALSE,1.90777365558462,TRUE,TRUE,1.85216126037331,7.81717976259268,2.65164392171752,9.7249534181773,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.52173164408458,1.85213129494228,7.8172097280237,1.85215412772501,7.81723256080643,"判定一致"
19,0,6,25,"n50_19.6.0.25","E050R1","ENUM",50,25,25,19,"ok","quasi_separation","quasi_separation",5.03043792139244,TRUE,FALSE,1.90058354783789,TRUE,TRUE,2.03604789347541,8.02477892366516,2.83182581219545,9.92536247150305,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.52778193701157,2.03601583579677,8.0248109813438,2.0360403486183,8.02483549416533,"判定一致"
20,0,5,25,"n50_20.5.0.25","E050R1","ENUM",50,25,25,20,"ok","quasi_separation","quasi_separation",5.24750242663026,TRUE,FALSE,1.89037708741688,TRUE,TRUE,2.23616926321274,8.25878382300071,3.02701117160544,10.1491609104176,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.53642667580769,2.23613559363706,8.2588174925764,2.23616147715997,8.25884337609931,"判定一致"
21,0,4,25,"n50_21.4.0.25","E050R1","ENUM",50,25,25,21,"ok","quasi_separation","quasi_separation",5.49580117108167,TRUE,FALSE,1.87537197758477,TRUE,TRUE,2.45927661468881,8.5322717980982,3.24379580267943,10.407643775683,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.54927967709509,2.45924183730729,8.53230657547972,2.45926880199483,8.53233354016726,"判定一致"
22,0,3,25,"n50_22.3.0.25","E050R1","ENUM",50,25,25,22,"ok","quasi_separation","quasi_separation",5.79257797343933,TRUE,FALSE,1.85192099879977,TRUE,TRUE,2.71591061920958,8.86918974988937,3.49286240723558,10.7211107486891,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.56976093501226,2.71587528758752,8.86922508151143,2.71590307647676,8.86925287040066,"判定一致"
23,0,2,25,"n50_23.2.0.25","E050R1","ENUM",50,25,25,23,"ok","quasi_separation","quasi_separation",6.17253532200028,TRUE,FALSE,1.81133414645301,TRUE,TRUE,3.02373963779165,9.32127439221323,3.79379729715862,11.1326085386662,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.60656143140386,3.02370447049975,9.32130955950512,3.02373277749698,9.32133786650235,"判定一致"
24,0,1,25,"n50_24.1.0.25","E050R1","ENUM",50,25,25,24,"ok","quasi_separation","quasi_separation",6.72503364216684,TRUE,FALSE,1.72778335169032,TRUE,TRUE,3.41242967651398,10.0375823018942,4.19036989538663,11.7653656535845,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.69013804958372,3.41239628311921,10.0376156952889,3.41242393608136,10.0376433482511,"判定一致"
25,0,0,25,"n50_25.0.0.25","E050R1","ENUM",50,25,25,25,"ok","complete_separation","complete_separation",7.86365126544865,TRUE,FALSE,1.7092650279992,TRUE,TRUE,3.82709024397098,11.9000982482684,4.83230047447716,13.6093632762676,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",2.05950688939148,3.82703491700027,11.9001535752391,3.82709193632861,11.9002105945674,"判定一致"
0,1,25,24,"n50_0.25.1.24","E050R1","ENUM",50,25,25,1,"ok","quasi_separation","quasi_separation",-1.13861762328181,TRUE,FALSE,1.68974718257609,TRUE,TRUE,-4.45176088225819,2.17410621024889,-6.14150806483428,1.84105756774889,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.69013804958372,-4.45143704208951,2.17378237008021,-4.45122732936605,2.17399208280367,"判定一致"
