"scenario_id","kind","comparison","factor","cohort","total_configurations","cohort_probability","excluded_probability","ci_available_probability","p_available_probability","ci_difference_joint_probability","p_difference_joint_probability","ci_difference_conditional_probability","p_difference_conditional_probability","ci_difference_mcse","p_difference_mcse","ci_difference_n","p_difference_n","ci_available_n","p_available_n","nonconverged_output_probability","convergence_unknown_output_probability","ci_delta_median","ci_delta_p99","ci_delta_max","p_delta_median","p_delta_p99","p_delta_max","beta_delta_median","beta_delta_p99"
"E020R1","exact","default_logistf_sas","default","all_outputs",121,1,0.0165289256198347,0.983471074380165,0.983471074380165,0.0991735537190083,0.0991735537190083,0.100840336134454,0.100840336134454,,,12,12,119,119,0,0,0.268566669567375,1.72350352362146,1.72350352362221,0.0263621489501125,0.0883614968037215,0.088361496803722,6.10490869843439e-05,0.000268170002951167
"E020R1","exact","default_logistf_sas","default","both_point_converged",121,0.983471074380165,0.0165289256198347,0.983471074380165,0.983471074380165,0.0991735537190083,0.0991735537190083,0.100840336134454,0.100840336134454,,,12,12,119,119,0,0,0.268566669567375,1.72350352362146,1.72350352362221,0.0263621489501125,0.0883614968037215,0.088361496803722,6.10490869843439e-05,0.000268170002951167
"E020R1","exact","default_logistf_sas","default","common_point_converged",121,0.966942148760331,0.0165289256198347,0.966942148760331,0.966942148760331,0.0991735537190083,0.0991735537190083,0.102564102564103,0.102564102564103,,,12,12,117,117,0,0,0.246165013654603,1.72350352362146,1.72350352362221,0.0263621489501127,0.0883614968037215,0.088361496803722,4.57423378787958e-05,0.000268170003073518
"E020R1","exact","default_logistf_sas","default","common_inference_available",121,0.966942148760331,0.0165289256198347,0.966942148760331,0.966942148760331,0.0991735537190083,0.0991735537190083,0.102564102564103,0.102564102564103,,,12,12,117,117,0,0,0.246165013654603,1.72350352362146,1.72350352362221,0.0263621489501127,0.0883614968037215,0.088361496803722,4.57423378787958e-05,0.000268170003073518
"E050R1","exact","default_logistf_sas","default","all_outputs",676,1,0.0029585798816568,0.997041420118343,0.997041420118343,0.0532544378698225,0.0532544378698225,0.0534124629080119,0.0534124629080119,,,36,36,674,674,0,0,0.0988209871275814,1.92065996022594,1.92074441293711,0.00646996254705712,0.0814982728117256,0.0878619676308667,2.89220517066813e-05,0.000461469387851308
"E050R1","exact","default_logistf_sas","default","both_point_converged",676,0.997041420118343,0.0029585798816568,0.997041420118343,0.997041420118343,0.0532544378698225,0.0532544378698225,0.0534124629080119,0.0534124629080119,,,36,36,674,674,0,0,0.0988209871275814,1.92065996022594,1.92074441293711,0.00646996254705712,0.0814982728117256,0.0878619676308667,2.89220517066813e-05,0.000461469387851308
"E050R1","exact","default_logistf_sas","default","common_point_converged",676,0.994082840236686,0.0029585798816568,0.994082840236686,0.994082840236686,0.0532544378698225,0.0532544378698225,0.0535714285714286,0.0535714285714286,,,36,36,672,672,0,0,0.0988209871275776,1.92065996022594,1.92074441293711,0.00646996254706067,0.0814982728117256,0.0878619676308667,2.89220516873634e-05,0.000461469387851539
"E050R1","exact","default_logistf_sas","default","common_inference_available",676,0.994082840236686,0.0029585798816568,0.994082840236686,0.994082840236686,0.0532544378698225,0.0532544378698225,0.0535714285714286,0.0535714285714286,,,36,36,672,672,0,0,0.0988209871275776,1.92065996022594,1.92074441293711,0.00646996254706067,0.0814982728117256,0.0878619676308667,2.89220516873634e-05,0.000461469387851539
"E100R1","exact","default_logistf_sas","default","all_outputs",2601,1,0.000768935024990388,0.99923106497501,0.99923106497501,0.0207612456747405,0.0207612456747405,0.0207772220084648,0.0207772220084648,,,54,54,2599,2599,0,0,0.0480270679622141,1.98996393339937,1.99074149758779,0.00101888233638129,0.0406333058197262,0.0872584546518038,6.18054374582622e-05,0.000310181214334122
"E100R1","exact","default_logistf_sas","default","both_point_converged",2601,0.99923106497501,0.000768935024990388,0.99923106497501,0.99923106497501,0.0207612456747405,0.0207612456747405,0.0207772220084648,0.0207772220084648,,,54,54,2599,2599,0,0,0.0480270679622141,1.98996393339937,1.99074149758779,0.00101888233638129,0.0406333058197262,0.0872584546518038,6.18054374582622e-05,0.000310181214334122
