"config_id","exposed_events","unexposed_events","before_different","after_different","sas_wald_low","sas_wald_high","sas_pl_low","sas_pl_high","logistf_pl_low","logistf_pl_high","before_delta","after_delta"
"n50_1.24.0.25",1,0,FALSE,FALSE,-2.17410621024888,4.4517608822582,-1.84109525355429,6.14150810866929,-1.84105756774889,6.14150806483469,1.68974718257649,3.76858054000895e-05
"n50_2.23.0.25",2,0,FALSE,FALSE,-1.45766888659965,4.83985998966825,-0.883539777970358,6.63822422029668,-0.883524334690966,6.63808526290091,1.79822527323266,0.000138957395765971
"n50_3.22.0.25",3,0,FALSE,FALSE,-1.00561364664128,5.14797122259148,-0.339044577491371,6.99310370969618,-0.339037868822525,6.99304272492771,1.84507150233622,6.09847684707177e-05
"n50_4.21.0.25",4,0,TRUE,FALSE,-0.668775532844182,5.40523524270608,0.0455922604115405,7.27583933833711,0.0455923172555201,7.27581029218072,1.87057504947464,2.90461563920985e-05
"n50_5.20.0.25",5,0,TRUE,FALSE,-0.395184550250236,5.62742810629409,0.347746406483928,7.51530235124562,0.347746460885342,7.51528752856126,1.88785942226717,1.48226843563748e-05
"n50_6.19.0.25",6,0,TRUE,FALSE,-0.161174463898824,5.82753513213879,0.600584462005218,7.72641872795977,0.600584519692087,7.72641083277465,1.89887570063586,7.89518511723486e-06
"n50_7.18.0.25",7,0,FALSE,FALSE,0.0464272459983888,6.01143291944804,0.821270309574694,7.91800316088271,0.821270365194212,7.91799889341211,1.90656597396408,4.26747059822929e-06
"n50_8.17.0.25",8,0,FALSE,FALSE,0.235530513877757,6.18428257215667,1.01986375962449,8.09577974507639,1.01986381625407,8.09577744857242,1.91149487641575,2.29650397187697e-06
"n50_9.16.0.25",9,0,FALSE,FALSE,0.411656964233486,6.34790732024507,1.2027822123004,8.26375894759223,1.20282464805428,8.26375778009655,1.91585045985148,4.24357538790776e-05
"n50_10.15.0.25",10,0,FALSE,FALSE,0.578364220090501,6.50650156448776,1.37458160237815,8.42494612444585,1.37461828708267,8.42494555615492,1.91844399166715,3.6684704520118e-05
"n50_11.14.0.25",11,0,FALSE,FALSE,0.738592804164846,6.6617141369041,1.53850737762313,8.58174371460665,1.53853925455531,8.58174342131258,1.92002928440849,3.18769321778767e-05
"n50_12.13.0.25",12,0,FALSE,FALSE,0.89465931874229,6.81545836554525,1.6971470264423,8.73620302779562,1.69717477023452,8.73620277848072,1.92074441293547,2.77437922218127e-05
"n50_13.12.0.25",13,0,FALSE,FALSE,1.04855932945639,6.96953978706595,1.85266608027899,8.89020014402835,1.85269017115703,8.89019974729178,1.92065996022584,2.40908780400062e-05
"n50_14.11.0.25",14,0,FALSE,FALSE,1.20213097196757,7.12578770160853,2.00700261968455,9.04557746904532,2.00702339718193,9.04557673603462,1.91978903442609,2.0777497378166e-05
"n50_15.10.0.25",15,0,FALSE,FALSE,1.35718911176639,7.28618976436985,2.16201818315227,9.20427895923788,2.16203588859154,9.20427766964247,1.91808790527262,1.7705439266269e-05
"n50_16.9.0.25",16,0,FALSE,FALSE,1.51565523421556,7.45305613460888,2.31963584046138,9.36850472240371,2.31965065732566,9.36850258241938,1.9154464478105,1.48168642719604e-05
"n50_17.8.0.25",17,0,FALSE,FALSE,1.67970684924297,7.62924932865614,2.48199199059813,9.54091796525699,2.48200409418179,9.54091454336779,1.91166521471165,1.21035836606609e-05
"n50_18.7.0.25",18,0,FALSE,FALSE,1.85216126037331,7.81717976259268,2.65163429908266,9.72495863877929,2.65164392171752,9.7249534181773,1.90777365558462,9.62263486092851e-06
"n50_19.6.0.25",19,0,FALSE,FALSE,2.03604789347541,8.02477892366516,2.83181821730435,9.9253707605168,2.83182581219545,9.92536247150305,1.90058354783789,8.28901374383406e-06
"n50_20.5.0.25",20,0,FALSE,FALSE,2.23616926321274,8.25878382300071,3.02700468538966,10.1491742403207,3.02701117160544,10.1491609104176,1.89037708741688,1.33299031510603e-05
"n50_21.4.0.25",21,0,FALSE,FALSE,2.45927661468881,8.5322717980982,3.24378852035249,10.407665667862,3.24379580267943,10.407643775683,1.87537197758477,2.18921790793303e-05
"n50_22.3.0.25",22,0,FALSE,FALSE,2.71591061920958,8.86918974988937,3.49285048215881,10.7211471909124,3.49286240723558,10.7211107486891,1.85192099879977,3.64422232710382e-05
"n50_23.2.0.25",23,0,FALSE,FALSE,3.02373963779165,9.32127439221323,3.79379113668217,11.1326652678062,3.79379729715862,11.1326085386662,1.81133414645301,5.67291399171665e-05
"n50_24.1.0.25",24,0,FALSE,FALSE,3.41242967651398,10.0375823018942,4.19036609334182,11.7654093627802,4.19036989538663,11.7653656535845,1.72778335169032,4.37091956850821e-05
"n50_25.0.0.25",25,0,FALSE,FALSE,3.82709024397098,11.9000982482684,4.83227835169374,13.6093634848927,4.83230047447716,13.6093632762676,1.7092650279992,2.21227834211746e-05
"n50_0.25.1.24",0,1,FALSE,FALSE,-4.45176088225819,2.17410621024889,-6.14150810867,1.8410952535543,-6.14150806483428,1.84105756774889,1.68974718257609,3.7685805417409e-05
"n50_1.24.1.24",1,1,FALSE,FALSE,-2.37760178620583,2.37760178620583,-2.56242838131023,2.56242838131025,-2.56242836981763,2.56242836981764,0.184826583611814,1.14926037575458e-08
"n50_2.23.1.24",2,1,FALSE,FALSE,-1.59095005337884,2.69596094567686,-1.53775642115771,2.99753265886904,-1.53775638319119,2.99747777100364,0.301516825326783,5.48878653945373e-05
"n50_3.22.1.24",3,1,FALSE,FALSE,-1.10355067495892,2.96853790306519,-0.960227805597633,3.32153284006507,-0.960180094998727,3.32150971554215,0.352971812476955,4.77105989055149e-05
