"scenario_id","kind","n","exclusion_probability","complete_separation_probability","quasi_separation_probability","common_point_converged_probability","expected_events"
"E020R1","exact",121,0.0165289256198347,0.0165289256198347,0.297520661157025,0.966942148760331,10
"E050R1","exact",676,0.0029585798816568,0.0029585798816568,0.142011834319527,0.994082840236686,25
"E100R1","exact",2601,0.000768935024990388,0.000768935024990388,0.0753556324490581,0.998462129950019,50
"E200R1","exact",10201,0.000196059209881384,0.000196059209881384,0.0388197235565141,0.999607881580237,100
"E020R4","exact",85,0.0235294117647059,0.0235294117647059,0.423529411764706,0.952941176470588,10
"E050R4","exact",451,0.00443458980044346,0.00443458980044346,0.212860310421286,0.991130820399113,25
"E100R4","exact",1701,0.00117577895355673,0.00117577895355673,0.11522633744856,0.997648442092887,50
"E200R4","exact",6601,0.00030298439630359,0.00030298439630359,0.0599909104681109,0.999394031207393,100
"C40R00","simulation",2500,0.048,0.0988,0.3072,0.8668,2.874
"C100R00","simulation",2500,0.0032,0.0092,0.1372,0.9832,5.7892
"C40R50","simulation",2500,0.048,0.1164,0.2976,0.8516,2.8556
"C100R50","simulation",2500,0.004,0.008,0.1444,0.982,5.7524
"C40R90","simulation",2500,0.0524,0.1296,0.2912,0.8172,2.8276
"C100R90","simulation",2500,0.0044,0.012,0.148,0.9792,5.7504
"C40R99","simulation",2500,0.0532,0.132,0.29,0.7896,2.822
"C100R99","simulation",2500,0.0044,0.0128,0.146,0.9748,5.7468
