"config_id","exposed_events","unexposed_events","beta_sas","beta_logistf","se_sas","se_logistf","low_sas","high_sas","low_logistf","high_logistf","exact_beta","ordinary_se","augmented_se","different","ordinary_outside","augmented_outside"
"n50_1.24.0.25",1,0,1.13882733600466,1.13861762328119,1.69030327719567,1.65731603800448,-2.17410621024888,4.4517608822582,-2.10966212220821,4.38689736877059,1.13861762328181,1.69013804958372,1.65731671067174,FALSE,FALSE,FALSE
"n50_2.23.0.25",2,0,1.6910955515343,1.69111594344774,1.60654198902174,1.57536238628417,-1.45766888659965,4.83985998966825,-1.39653759626831,4.7787694831638,1.69111594344837,1.60656143140386,1.57536309394497,FALSE,FALSE,FALSE
"n50_3.22.0.25",3,0,2.0711787879751,2.0710732920087,1.56982090430525,1.53927651407677,-1.00561364664128,5.14797122259148,-0.94585323783013,5.08799982184753,2.07107329200932,1.56976093501226,1.53927723832753,FALSE,FALSE,FALSE
"n50_4.21.0.25",4,0,2.36822985493095,2.36785009436636,1.54952101759555,1.51919297877485,-0.668775532844182,5.40523524270608,-0.609713429598468,5.34541361833119,2.36785009436698,1.54927967709509,1.51919371260011,FALSE,FALSE,FALSE
"n50_5.20.0.25",5,0,2.61612177802193,2.61614883881777,1.53640901160683,1.50658956794897,-0.395184550250236,5.62742810629409,-0.336712453845965,5.5690101314815,2.61614883881839,1.53642667580769,1.50659030791306,FALSE,FALSE,FALSE
"n50_6.19.0.25",6,0,2.83318033411998,2.8332133440556,1.5277601127561,1.49811269995211,-0.161174463898824,5.82753513213879,-0.103033592632607,5.7694602807438,2.83321334405622,1.52778193701157,1.49811344410319,FALSE,FALSE,FALSE
"n50_7.18.0.25",7,0,3.02893008272321,3.02895792118169,1.52171308261296,1.49217989666695,0.0464272459983888,6.01143291944804,0.104339065259773,5.95357677710361,3.02895792118231,1.52173164408458,1.49218064377672,FALSE,TRUE,TRUE
"n50_8.17.0.25",8,0,3.20990654301721,3.20969091529051,1.51756667602107,1.48795274541767,0.235530513877757,6.18428257215667,0.29335712357438,6.12602470700664,3.20969091529113,1.5174207809077,1.48795349464992,FALSE,TRUE,TRUE
"n50_9.16.0.25",9,0,3.37978214223928,3.37975705042367,1.51437740765544,1.48495207839526,0.411656964233486,6.34790732024507,0.469304458001061,6.29020964284627,3.37975705042429,1.51436069051145,1.48495282914149,FALSE,TRUE,TRUE
"n50_10.15.0.25",10,0,3.54243289228913,3.54236086596198,1.51230772380453,1.48289166188901,0.578364220090501,6.50650156448776,0.635946615684772,6.44877511623919,3.5423608659626,1.51225947078094,1.48289241367837,FALSE,TRUE,TRUE
"n50_11.14.0.25",11,0,3.70015347053447,3.70002401866638,1.51102810548053,1.48159896585078,0.738592804164846,6.6617141369041,0.796143406067061,6.6039046312657,3.700024018667,1.51094117498506,1.48159971829608,FALSE,TRUE,TRUE
"n50_12.13.0.25",12,0,3.85505884214377,3.85486459158758,1.51043567471277,1.48097519584349,0.89465931874229,6.81545836554525,0.952206545737183,6.75752263743797,3.8548645915882,1.51030505222042,1.48097594860571,FALSE,TRUE,TRUE
"n50_13.12.0.25",13,0,4.00904955826117,4.00878667385983,1.51048195383015,1.48097519584349,1.04855932945639,6.96953978706595,1.10612862800943,6.91144471971023,4.00878667386045,1.51030505222042,1.48097594860571,FALSE,TRUE,TRUE
"n50_14.11.0.25",14,0,4.16395933678805,4.16362724678103,1.51116468883255,1.48159896585078,1.20213097196757,7.12578770160853,1.25974663418171,7.06750785938035,4.16362724678165,1.51094117498506,1.48159971829608,FALSE,TRUE,TRUE
"n50_15.10.0.25",15,0,4.32168943806812,4.32129039948543,1.51252795953667,1.48289166188901,1.35718911176639,7.28618976436985,1.41487614920822,7.22770464976264,4.32129039948605,1.51225947078094,1.48289241367837,FALSE,TRUE,TRUE
"n50_16.9.0.25",16,0,4.48435568441222,4.48389421502374,1.51467091926861,1.48495207839526,1.51565523421556,7.45305613460888,1.57344162260114,7.39434680744634,4.48389421502437,1.51436069051145,1.48495282914149,FALSE,TRUE,TRUE
"n50_17.8.0.25",17,0,4.65447808894955,4.6539603501569,1.51776831777074,1.48795274541767,1.67970684924297,7.62924932865614,1.73762655844078,7.57029414187302,4.65396035015752,1.5174207809077,1.48795349464992,FALSE,TRUE,TRUE
"n50_18.7.0.25",18,0,4.83467051148299,4.83469334426572,1.52171635531843,1.49217989666695,1.85216126037331,7.81717976259268,1.9100744883438,7.75931220018763,4.83469334426634,1.52173164408458,1.49218064377672,FALSE,TRUE,TRUE
"n50_19.6.0.25",19,0,5.03041340857028,5.03043792139181,1.52776558075253,1.49811269995211,2.03604789347541,8.02477892366516,2.09419098470362,7.96668485808001,5.03043792139244,1.52778193701157,1.49811344410319,FALSE,TRUE,TRUE
"n50_20.5.0.25",20,0,5.24747654310673,5.24750242662964,1.53640949713709,1.50658956794897,2.23616926321274,8.25878382300071,2.2946411339659,8.20036371929338,5.24750242663026,1.53642667580769,1.50659030791306,FALSE,TRUE,TRUE
"n50_21.4.0.25",21,0,5.4957742063935,5.49580117108105,1.54926193320704,1.51919297877485,2.45927661468881,8.5322717980982,2.51823764711623,8.47336469504587,5.49580117108167,1.54927967709509,1.51919371260011,FALSE,TRUE,TRUE
"n50_22.3.0.25",22,0,5.79255018454947,5.79257797343871,1.56974290834323,1.53927651407677,2.71591061920958,8.86918974988937,2.77565144359988,8.80950450327754,5.79257797343933,1.56976093501226,1.53927723832753,FALSE,TRUE,TRUE
"n50_23.2.0.25",23,0,6.17250701500244,6.17253532199966,1.60654348857829,1.57536238628417,3.02373963779165,9.32127439221323,3.08488178228361,9.26018886171572,6.17253532200028,1.60656143140386,1.57536309394497,FALSE,TRUE,TRUE
"n50_24.1.0.25",24,0,6.72500598920408,6.72503364216622,1.69012101182434,1.65731603800448,3.41242967651398,10.0375823018942,3.47675389667682,9.97331338765562,6.72503364216684,1.69013804958372,1.65731671067174,FALSE,TRUE,TRUE
